sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
	Calyptra albivirgata	RO:0002470	eats		Unknown Fruit						doi:10.1007/s13127-011-0039-1	"Gittenberger, A., Gittenberger, E. (2011). Cryptic, adaptive radiation of endoparasitic snails: sibling species of Leptoconchus (Gastropoda: Coralliophilidae) in corals. Org Divers Evol, 11(1), 21–41. doi:10.1007/s13127-011-0039-1"
	Calyptra albivirgata	RO:0002470	eats		Unknown Animal							
	Calyptra bicolor	RO:0002470	eats		Rubus sp.							
	Calyptra bicolor	RO:0002470	eats		Homo sapiens							
	Calyptra canadensis	RO:0002470	eats		Fragaria sp.							
	Calyptra canadensis	RO:0002470	eats		Unknown Animal							
	Calyptra eustrigata	RO:0002470	eats		Prunus sp.							
	Calyptra eustrigata	RO:0002470	eats		Citrus sp.							
	Calyptra eustrigata	RO:0002470	eats									
	Calyptra eustrigata	RO:0002470	eats									
	Calyptra eustrigata	RO:0002470	eats									
	Calyptra eustrigata	RO:0002470	eats									
		RO:0002470	eats									
		RO:0002470	eats									
